variant,recipe,count
B_current_rules,axe,404
B_current_rules,bow,140
B_current_rules,campfire,928
B_current_rules,climbing_staff,165
B_current_rules,cutting_tool,157
B_current_rules,drying_rack,6
B_current_rules,fish_trap,132
B_current_rules,fishing_pole,1553
B_current_rules,forage_kit,371
B_current_rules,herb_kit,121
B_current_rules,knife,115
B_current_rules,lean_to,158
B_current_rules,medicine_kit,9
B_current_rules,signal_mirror,113
B_current_rules,smoke_tool,589
B_current_rules,spear,303
B_current_rules,strong_medicine,2
B_current_rules,sturdy_shelter,5
B_current_rules,sustained_fire,3
B_current_rules,torch,745
B_current_rules,water_cache,1
B_current_rules,water_filter,484
