variant,profile,average_final_score,win_rate
A_current_rules,firekeeper,2.333,0.0
A_current_rules,forager,3.667,0.3333
A_current_rules,hunter,5.333,0.3333
A_current_rules,pathfinder,2.0,0.0
B_no_round_end_hunger_decay,firekeeper,5.333,0.0
B_no_round_end_hunger_decay,forager,8.0,0.0
B_no_round_end_hunger_decay,hunter,2.333,0.0
B_no_round_end_hunger_decay,pathfinder,2.667,0.0
C_hunger_decay_after_2_searches,firekeeper,5.0,0.0
C_hunger_decay_after_2_searches,forager,4.0,0.0
C_hunger_decay_after_2_searches,hunter,1.667,0.0
C_hunger_decay_after_2_searches,pathfinder,3.0,0.0
D_easier_snare,firekeeper,7.0,0.0
D_easier_snare,forager,1.667,0.0
D_easier_snare,hunter,3.0,0.0
D_easier_snare,pathfinder,1.333,0.0
E_easier_fishing_pole,firekeeper,4.667,0.0
E_easier_fishing_pole,forager,1.0,0.0
E_easier_fishing_pole,hunter,3.0,0.0
E_easier_fishing_pole,pathfinder,1.0,0.0
F_current_hunger_plus_easier_camp_stew,firekeeper,6.333,0.0
F_current_hunger_plus_easier_camp_stew,forager,4.667,0.0
F_current_hunger_plus_easier_camp_stew,hunter,2.667,0.0
F_current_hunger_plus_easier_camp_stew,pathfinder,3.667,0.0
